iter	Passed	Remaining
398	105987	106518
399	106261	106261
400	106493	105962
401	106771	105708
402	107004	105411
403	107230	105106
404	107486	104832
405	107725	104541
406	107978	104263
407	108234	103990
408	108464	103690
409	108697	103395
410	108923	103092
411	109186	102825
412	109438	102548
413	109672	102255
414	109891	101947
415	110130	101659
416	110378	101378
417	110629	101101
418	110857	100803
419	111094	100513
420	111336	100229
421	111574	99941
422	111852	99688
423	112091	99402
424	112358	99140
425	112585	98842
426	112814	98547
427	113045	98254
428	113273	97958
429	113539	97696
430	113781	97414
431	114003	97114
432	114284	96865
433	114544	96597
434	114800	96326
435	115034	96037
436	115277	95756
437	115512	95469
438	115728	95166
439	115952	94870
440	116214	94605
441	116478	94342
442	116747	94083
443	117009	93818
444	117247	93534
445	117495	93259
446	117730	92973
447	117996	92711
448	118276	92461
449	118518	92181
450	118751	91894
451	118991	91612
452	119236	91336
453	119479	91057
454	119724	90779
455	119957	90494
456	120220	90230
457	120449	89942
458	120692	89664
459	120932	89385
460	121167	89101
461	121430	88838
462	121655	88548
463	121905	88276
464	122132	87987
465	122406	87733
466	122638	87448
467	122880	87171
468	123101	86879
469	123329	86593
470	123552	86303
471	123800	86030
472	124044	85756
473	124300	85489
474	124533	85207
475	124776	84931
476	125068	84690
477	125316	84418
478	125550	84136
479	125794	83863
480	126051	83597
481	126283	83315
482	126504	83026
483	126750	82754
484	126991	82478
485	127241	82209
486	127474	81928
487	127741	81670
488	127953	81377
489	128187	81098
490	128417	80816
491	128657	80541
492	128927	80285
493	129173	80014
494	129437	79754
495	129687	79485
496	129912	79202
497	130155	78929
498	130405	78661
499	130623	78373
500	130895	78119
501	131141	77848
502	131411	77592
503	131654	77320
504	131909	77055
505	132142	76778
506	132364	76494
507	132622	76232
508	132868	75962
509	133108	75689
510	133362	75424
511	133591	75145
512	133819	74866
513	134072	74600
514	134346	74347
515	134566	74063
516	134805	73791
517	135035	73513
518	135260	73233
519	135492	72957
520	135749	72695
521	135991	72424
522	136232	72153
523	136493	71893
524	136718	71614
525	137003	71366
526	137237	71092
527	137487	70826
528	137724	70554
529	137970	70287
530	138220	70021
531	138465	69753
532	138698	69479
533	138940	69209
534	139164	68932
535	139408	68663
536	139628	68384
537	139874	68117
538	140118	67849
539	140358	67579
540	140575	67299
541	140817	67031
542	141076	66771
543	141308	66498
544	141537	66224
545	141768	65951
546	141992	65674
547	142253	65415
548	142493	65147
549	142729	64876
550	142992	64619
551	143254	64360
552	143501	64095
553	143729	63822
554	144009	63571
555	144259	63308
556	144490	63036
557	144774	62787
558	145013	62519
559	145255	62252
560	145517	61993
561	145743	61720
562	145983	61453
563	146225	61186
564	146455	60915
565	146723	60659
566	146946	60385
567	147184	60117
568	147462	59866
569	147727	59609
570	147962	59340
571	148193	59070
572	148414	58796
573	148697	58546
574	148927	58276
575	149154	58004
576	149397	57739
577	149616	57465
578	149908	57219
579	150171	56961
580	150403	56692
581	150627	56420
582	150875	56157
583	151116	55892
584	151327	55616
585	151541	55341
586	151789	55078
587	152012	54807
588	152236	54536
589	152511	54283
590	152753	54019
591	152996	53755
592	153226	53487
593	153461	53220
594	153696	52954
595	153923	52685
596	154160	52419
597	154470	52179
598	154712	51915
599	154958	51652
600	155212	51393
601	155468	51134
602	155709	50870
603	155957	50608
604	156210	50348
605	156440	50081
606	156703	49825
607	156948	49562
608	157181	49296
